,Product name,Rating number,Reviews number,Price
product_0,"Telefon mobil Samsung Galaxy A03, 64GB, 4GB RAM, 4G, Black",4.69,36,679.99
product_1,"Telefon mobil Samsung Galaxy A03, Dual Sim, 64GB, 4GB RAM, 4G, Blue",4.69,36,589.0
product_2,"Telefon mobil Samsung Galaxy A03, Dual Sim, 64GB, 4GB RAM, 4G, Red",4.69,36,589.0
product_3,"Telefon mobil Samsung Galaxy A22, Dual SIM, 64GB, 5G, Gray",4.48,136,899.99
product_4,"Telefon mobil Samsung Galaxy A13, 64GB, 4GB RAM, 4G, Nacho Black",4.71,7,689.9
product_5,"Telefon mobil Samsung Galaxy A22, Dual SIM, 64GB, 5G, Light Violet",4.48,136,999.99
product_6,"Telefon mobil Samsung Galaxy A13, 32GB, 3GB RAM, 4G, Nacho Black",4.71,7,672.2
product_7,"Telefon mobil Huawei Nova 8i, Dual SIM, 6GB RAM, 128GB, 4G, Moonlight Silver",3.92,48,989.99
product_8,"Telefon mobil Huawei Y5P, Dual SIM, 32GB, 4G, Midnight Black",3.99,183,518.99
product_9,"Telefon mobil Samsung Galaxy A13, 32GB, 3GB RAM, 4G, Nacho Blue",4.71,7,729.0
product_10,"Telefon mobil Motorola Edge 20, Dual SIM, 128GB, 8GB RAM, 5G, Frosted Grey",4.31,134,1438.99
product_11,"Telefon mobil Samsung Galaxy A13, 128GB, 4GB RAM, 4G, Nacho Black",4.71,7,849.0
product_12,"Telefon mobil Motorola Edge 20, Dual SIM, 128GB, 8GB RAM, 5G, Frosted Emerald",4.31,134,1299.99
product_13,"Telefon mobil Apple iPhone SE 2, 64GB, 4G, Black",4.48,411,2350.8
product_14,"Telefon mobil Samsung Galaxy A13, 64GB, 4GB RAM, 4G, Nacho Blue",4.71,7,799.99
product_15,"Telefon mobil Samsung Galaxy A13, 64GB, 4GB RAM, 4G, Nacho White",4.71,7,749.99
product_16,"Telefon mobil Samsung Galaxy A13, 32GB, 3GB RAM, 4G, Nacho White",4.71,7,669.99
product_17,"Telefon mobil OPPO Reno7 Lite, Dual SIM, 128GB, 8GB RAM, 5G, Rainbow Spectrum",5,7,1799.99
product_18,"Telefon mobil Samsung Galaxy A13, 128GB, 4GB RAM, 4G, Nacho Blue",4.71,7,849.99
product_19,"Telefon mobil Huawei Nova 9, Dual SIM, 8GB RAM, 128GB, 4G, Black",4.36,66,1386.02
product_20,"Telefon mobil Apple iPhone 8, 64GB, 4G, Space Grey",4.57,280,1368.5
product_21,"Telefon mobil Samsung Galaxy A22, Dual SIM, 128GB, 5G, Gray",4.48,136,1099.0
product_22,"Telefon mobil Samsung Galaxy S8, 64GB, 4G, Midnight Black",4.53,768,1440.0
product_23,"Telefon mobil Xiaomi Redmi 10, Dual SIM, 64GB, 4G, Carbon Gray",4.67,33,849.99
product_24,"Telefon mobil Apple iPhone XS, 64GB, Gold",4.62,245,2064.65
product_25,"Telefon mobil Samsung Galaxy A52, Dual SIM, 128GB, 6GB RAM, 4G, Awesome Black",4.5,246,1699.0
product_26,"Telefon mobil Xiaomi Redmi 9A, Dual SIM, 32GB, 4G, Carbon Grey",4.26,208,534.91
product_27,"Telefon mobil Apple iPhone 8, 64GB, 4G, Gold",4.57,280,1368.5
product_28,"Telefon mobil Google Pixel 6, 128GB, 8GB RAM, 5G, Stormy Black",4.5,24,2849.0
product_29,"Telefon Mobil OnePlus Nord 2, 5G, 128GB, 8GB, Gray Sierra",4.63,140,1819.0
product_30,"Telefon mobil Huawei Nova 9, Dual SIM, 8GB RAM, 128GB, 4G, Starry Blue",4.36,66,1386.02
product_31,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, Black",4.37,199,999.9
product_32,"Telefon mobil Apple iPhone 11, 64GB, Green",4.76,1174,2839.99
product_33,"Telefon mobil Nokia 150 (2020), Dual Sim, Black",4.48,71,164.01
product_34,"Pachet promo: Telefon mobil Xiaomi 11T Pro, 8GB RAM, 128GB, 5G, Meteorite Gray + Smartwatch Devia Star Series, BT01, Black",4.42,52,2451.6
product_35,"Telefon mobil Samsung Galaxy S10, Dual SIM, 128GB, 8GB RAM, 4G, Black",4.44,473,2098.4
product_36,"Telefon mobil Apple iPhone 12, 64GB, 5G, Black",4.67,462,3720.0
product_37,"Telefon mobil Nokia 230, Dual Sim, Dark Silver",4.44,319,289.99
product_38,"Telefon mobil Xiaomi Redmi Note 11 Pro+, Dual SIM, 6GB RAM, 128GB, 5G, Gray",4.67,9,1834.0
product_39,"Telefon mobil Samsung Galaxy A33, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Black",3.85,20,1394.99
product_40,"Telefon mobil Apple iPhone XR, 64GB, Black",4.67,350,2399.0
product_41,"Telefon mobil Samsung Galaxy S9, Dual SIM, 64GB, 4G, Purple",4.28,280,1488.4
product_42,"Telefon mobil Apple iPhone XS, 64GB, Space Grey",4.62,245,2899.99
product_43,"Telefon mobil Samsung Galaxy A53, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Black",4.19,130,1768.99
product_44,"Telefon mobil Apple iPhone 11, 128GB, Black",4.76,1174,2999.99
product_45,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, Blue",4.37,199,1229.98
product_46,"Telefon mobil OUKITEL WP12 Pro, Android 11, 4GB/64GB, Dual SIM 4G, IP68, Face ID/NFC, Rosu",4.78,23,658.78
product_47,"Telefon mobil Samsung Galaxy S10+, Dual SIM, 128GB, 8GB RAM, 4G, Black",4.54,581,2196.0
product_48,"Telefon mobil Apple iPhone 12, 64GB, 5G, White",4.67,462,4249.99
product_49,"Telefon Mobil Huawei Nova 9 SE, Dual SIM, 8GB RAM, 128GB, 4G, Crystal Blue",3.94,31,989.99
product_50,"Telefon mobil Nokia 105 (2019), Single SIM, Black",4.29,59,84.99
product_51,"Telefon mobil Samsung Galaxy S9, Dual SIM, 64GB, 4G, Black",4.28,280,1439.6
product_52,"Telefon mobil Samsung Galaxy A52s, Dual SIM, 128GB, 6GB RAM, 5G, Awesome Black",4.53,417,1819.0
product_53,"Telefon mobil Samsung Galaxy A33, Dual SIM, 6GB RAM, 128GB, 5G, Awesome Blue",3.85,20,1499.0
product_54,"Telefon mobil Huawei P50 Pro, 8GB RAM, 256GB, 4G, Golden Black",3.76,21,4019.99
product_55,"Telefon mobil Samsung Galaxy A32, Dual SIM, 128GB, 4G, White",4.37,199,1249.5
product_56,"Telefon Mobil Huawei Nova 9 SE, Dual SIM, 8GB RAM, 128GB, 4G, Pearl White",3.94,31,1064.51
product_57,"Telefon mobil Apple iPhone 11, 128GB, White",4.76,1174,2999.99
product_58,"Telefon mobil Nokia 5310 (2020), Dual SIM, Black/Red",4.51,67,241.94
product_59,"Telefon mobil Nokia 105 (2019), Dual SIM, Black",4.47,130,104.99
